min_score,topk,sell_n,trailing_stop,take_profit,cooldown_after_stop,initial_cash,final_value,total_return,annual_return,sharpe_ratio,max_drawdown,num_trades,win_rate,num_sells,sell_avg_return,sell_median_return
0.7,2,3,0.03,0.0,5,10000000.0,8242029.835800935,-0.17579701641990653,-0.1851174524248953,-0.4221141875588834,-0.24222880347453202,128,0.34375,64,-0.004568616519679065,-0.019646091563332135
0.62,3,5,0.03,0.08,5,10000000.0,6231418.700510063,-0.3768581299489937,-0.39395648038108577,-0.4508516106668798,-0.6154098249586678,1013,0.4178217821782178,505,-0.0015907904471455056,-0.01376118557906536
0.68,1,2,0.04,0.08,5,10000000.0,4671780.982787194,-0.5328219017212806,-0.5532749901411925,-0.45199726229999254,-0.5968987629309805,303,0.4304635761589404,151,-0.003096805021223432,-0.012961116650049731
0.68,1,2,0.04,0.0,5,10000000.0,4787691.275479835,-0.5212308724520165,-0.5415309441302634,-0.4551083331473174,-0.5850935946505399,273,0.4117647058823529,136,-0.0030614904791763033,-0.015582681213641092
0.68,1,5,0.03,0.0,5,10000000.0,4688606.951243612,-0.5311393048756388,-0.5515712341453423,-0.46749425048027293,-0.6869544359064453,263,0.3816793893129771,131,-0.002733009891498158,-0.020715630885122294
0.58,3,5,0.03,0.08,5,10000000.0,6153723.5982388025,-0.3846276401761197,-0.4019543475445012,-0.472089930083196,-0.6154098249586678,1015,0.41699604743083,506,-0.0016626004488564977,-0.013939772393577798
0.6,3,5,0.03,0.08,5,10000000.0,6153723.5982388025,-0.3846276401761197,-0.4019543475445012,-0.472089930083196,-0.6154098249586678,1015,0.41699604743083,506,-0.0016626004488564977,-0.013939772393577798
0.7,2,2,0.04,0.08,5,10000000.0,8329858.572784098,-0.1670141427215902,-0.17592022983995637,-0.4925280442193469,-0.2186603908894429,144,0.3888888888888889,72,-0.0039356732737932405,-0.01160138685268225
0.7,1,5,0.04,0.0,5,10000000.0,6696861.307674928,-0.3303138692325073,-0.3459236589060849,-0.49291303479967896,-0.34890987102197746,76,0.2631578947368421,38,-0.0055431627658919895,-0.03662062341143596
0.7,2,3,0.04,0.08,5,10000000.0,8253899.185475389,-0.17461008145246115,-0.18387485706171303,-0.49591435778871346,-0.2437367834350319,138,0.391304347826087,69,-0.004274319869667713,-0.021052783677951603
0.62,3,2,0.04,0.08,5,10000000.0,5930325.198715107,-0.4069674801284894,-0.42491745469217634,-0.4995889024950163,-0.6326357608128395,1047,0.43103448275862066,522,-0.001826433435567792,-0.010670312384749747
0.58,3,2,0.04,0.08,5,10000000.0,5856384.215937254,-0.41436157840627463,-0.43250673443278476,-0.5202546185050992,-0.6326357608128395,1049,0.43021032504780116,523,-0.001895458708755822,-0.010788862462890458
0.6,3,2,0.04,0.08,5,10000000.0,5856384.215937254,-0.41436157840627463,-0.43250673443278476,-0.5202546185050992,-0.6326357608128395,1049,0.43021032504780116,523,-0.001895458708755822,-0.010788862462890458
0.58,2,3,0.04,0.0,5,10000000.0,5003115.095593946,-0.49968849044060537,-0.5196599950673344,-0.5399943762355391,-0.6643264814180767,562,0.35,280,-0.0035381725859761556,-0.02702444308250701
0.6,2,3,0.04,0.0,5,10000000.0,5003115.095593946,-0.49968849044060537,-0.5196599950673344,-0.5399943762355391,-0.6643264814180767,562,0.35,280,-0.0035381725859761556,-0.02702444308250701
0.62,2,3,0.04,0.0,5,10000000.0,5003115.095593946,-0.49968849044060537,-0.5196599950673344,-0.5399943762355391,-0.6643264814180767,562,0.35,280,-0.0035381725859761556,-0.02702444308250701
0.65,3,2,0.04,0.08,5,10000000.0,5809926.83137989,-0.419007316862011,-0.43727222810802113,-0.5438511718948185,-0.6071407075832097,1011,0.4305555555555556,504,-0.0020451329451602186,-0.010799783801187013
0.65,3,3,0.03,0.08,5,10000000.0,5809867.500172483,-0.4190132499827517,-0.4372783127401425,-0.5853190043242745,-0.6004469455929677,1013,0.42574257425742573,505,-0.0020481467688281906,-0.012702153280418571
0.68,1,3,0.04,0.08,5,10000000.0,4266808.001792648,-0.5733191998207352,-0.5941697087289746,-0.5870550283886491,-0.5733191998207352,279,0.4244604316546763,139,-0.0040600844107439565,-0.019246608002080667
0.7,2,2,0.03,0.08,5,10000000.0,8086015.641108368,-0.19139843588916328,-0.20144064957472807,-0.6054679539673596,-0.24652998452685948,142,0.4084507042253521,71,-0.004937849448669054,-0.010500620424945928
0.7,2,2,0.04,0.0,5,10000000.0,7980881.856401894,-0.20191181435981054,-0.21242999216407543,-0.606233311552754,-0.24393444870147996,138,0.34782608695652173,69,-0.005051702337604761,-0.019196281125663184
0.7,2,2,0.03,0.0,5,10000000.0,7882991.110476658,-0.2117008889523342,-0.22265458917852976,-0.6505213836362824,-0.24700074062416333,136,0.36764705882352944,68,-0.005586426860567005,-0.018717840287187926
0.68,1,2,0.03,0.0,5,10000000.0,3995646.791634114,-0.6004353208365887,-0.6214257794486991,-0.651631203661847,-0.6408455349918019,289,0.4166666666666667,144,-0.0040737974677599546,-0.01801332300855396
0.7,2,5,0.03,0.08,5,10000000.0,7903268.635486918,-0.20967313645130825,-0.22053723085257015,-0.6701852400360867,-0.2681321424090165,138,0.37681159420289856,69,-0.0056766664265872945,-0.01804021896574437
